ISIN_No,BSE_Scrip_Code,BSE_Scrip_Id,BSE_Scrip_Name,NSE_ID,Nse_Name,Sector,Industry,Quandl_Code
INE045J01018,533333,FCL,FINEOTEX CHEMICAL LTD.,FCL,Fineotex Chemical Limited,Chemicals,Chemical Extraction,FCL
INE734I01027,508954,FINKURVE,Finkurve Financial Services Ltd,NM,NM,Financial,Hire Purchase,FINKURVE
INE235A01022,500144,FINCABLES,FINOLEX CABLES LTD.,FINCABLES,Finolex Cables Limited,Engineering,Wires & cables,FINCABLES
INE183A01016,500940,FINOLEXIND,FINOLEX INDUSTRIES LTD.,FINPIPE,Finolex Industries Limited,Chemicals,Plastic tubes & pipes,FINOLEXIND
INE815B01011,531754,FINCOM,FINTECH COMMUNICATIONS LTD.,NM,NM,Technology,Computer Software,FINCOM
INE315J01015,532996,FIRSTWIN,FIRST WINNER INDUSTRIES LTD.,FIRSTWIN,First Winner Industries Limited,Textiles,Readymade Garments,FIRSTWIN
INE683B01047,532379,FIRSTOBJ,FIRSTOBJECT TECHNOLOGIES LTD.,NM,NM,Technology,Computer Software,FIRSTOBJ
INE684F01012,532809,FSL,FIRSTSOURCE SOLUTIONS LTD.,FSL,Firstsource Solutions Limited,Technology,BPO Services,FSL
INE771F01017,524743,FISCHER,FISCHER CHEMIC LTD.,NM,NM,Chemicals,Inorganic Chem.,FISCHER
INE147P01019,536751,FIVEX,Five X Finance &amp; Investment Ltd,NM,NM,Financial,Misc. Fin.services,FIVEX
INE954B01018,523672,FLEXFO,FLEX FOODS LTD.-$,NM,NM,FMCG,Other Agri.prod.,FLEXFO
INE060J01017,533638,FLEXITUFF,FLEXITUFF INTERNATIONAL LTD.,FLEXITUFF,Flexituff International Limited,Chemicals,Plastic Packaging goods,FLEXITUFF
INE161F01011,530705,FLORATX,FLORA TEXTILES LTD.,NM,NM,Textiles,Cloth,FLORATX
INE211G01020,532518,FLORENCE,Florence Investech Limited-$,NM,NM,Chemicals,Pesticides,FLORENCE
INE459C01016,522017,FLUIDOM,FLUIDOMAT LTD.,NM,NM,Engineering,Electrical Machinery,FLUIDOM
INE603E01023,534757,FOCUSIRL,FOCUS INDUSTRIAL RESOURCES LTD.,NM,NM,Financial,Misc. Fin.services,FOCUSIRL
INE241E01014,503831,FOMEHOT,FOMENTO RESORTS &amp; HOTELS LTD.,NM,NM,Services,Hotels & Restaurants,FOMEHOT
INE976E01015,507552,FOODSIN,FOODS &amp; INNS LTD.,NM,NM,FMCG,Food Processing,FOODSIN
INE518A01013,502865,FORBESCO,FORBES &amp; COMPANY LTD.-$,FORBESGOK,Forbes & Company Ltd,Textiles,Cotton & Blended Yarn,FORBESCO
INE451A01017,500033,FORCEMOT,FORCE MOTORS LTD.-$,BAJAJTEMPO,Force Motors Ltd,Automobile,Commercial Vehicles,FORCEMOT
INE061F01013,532843,FORTIS,FORTIS HEALTHCARE LTD.,FORTIS,Fortis Healthcare Limited,Healthcare,Health Services,FORTIS
INE842B01015,523696,FORTISMLR,Fortis Malar Hospitals Limited,NM,NM,Healthcare,Health Services,FORTISMLR
INE924D01017,530023,FORTUNEF,FORTUNE FINANCIAL SERVICES (INDIA) LTD.,NM,NM,Financial,Hire Purchase,FORTUNEF
INE501D01013,530213,FORINTL,FORTUNE INTERNATIONAL LTD.,NM,NM,Services,Misc.Other Services,FORINTL
INE519A01011,500150,FOSECOIND,FOSECO INDIA LTD.,FOSECOIND,Foseco India Limited,Chemicals,Misc.Chem.,FOSECOIND
INE617C01027,513579,FFPL,FOUNDRY FUEL PRODUCTS LTD.,NM,NM,Energy,Coal & Lignite,FFPL
INE739B01039,532403,4THGEN,FOURTH GENERATION INFORMATION SYSTEMS LTD.,NM,NM,Technology,Computer Software,4THGEN
INE184Q01010,539032,FRASER,Fraser and Company Ltd,NM,NM,Construction,Infrastructure,FRASER
INE795D01011,530077,FRSHTRP,FRESHTROP FRUITS LTD.,NM,NM,FMCG,Food Processing,FRSHTRP
INE547B01010,531225,FRONTINF,FRONTIER INFORMATION TECHNOLOGIES LTD.,NM,NM,Technology,Computer Software,FRONTINF
INE977E01013,508980,ZFRONTLE,FRONTIER LEASING &amp; FINANCE LTD.,NM,NM,Financial,Hire Purchase,ZFRONTLE
INE572D01014,522195,FRONTSP,FRONTIER SPRINGS LTD.,NM,NM,Automobile,Auto Ancillaries,FRONTSP
INE485D01035,521167,FRONTBUSS,FRONTLINE BUSINESS SOLUTIONS LTD.,NM,NM,Technology,BPO Services,FRONTBUSS
INE773B01012,533213,FRONTSEC,FRONTLINE SECURITIES LTD.,NM,NM,Financial,Misc. Fin.services,FRONTSEC
INE836C01015,538568,FRUTION,Fruition Venture Ltd,NM,NM,Financial,Trading,FRUTION
INE521A01017,506803,FULFORD,FULFORD (INDIA) LTD.-$,NM,NM,Healthcare,Drugs & Pharma,FULFORD
INE288H01018,531854,FUNWTRD,FUNWORLD &amp; TOURISM DEVELOPMENT LTD.,NM,NM,Healthcare,Health Services,FUNWTRD
INE284L01019,531760,FUFITIN,FUSION FITTINGS (I) LTD.,NM,NM,Financial,Trading,FUFITIN
INE220J01025,533400,FCEL,Future Consumer Enterprise Limited,FCEL,Future Consumer Enterprise Limited,Financial,Invest.Services,FCEL
INE452O01016,536507,FLFL,Future Lifestyle Fashions Ltd,FLFL,Future Lifestyle Fashions Limited,Services,Retail,FLFL
INE360L01017,533296,FMNL,FUTURE MARKET NETWORKS LTD.,FMNL,Future Market Networks Limited,Construction,Infrastructure,FMNL
INE623B01027,523574,FRL,FUTURE RETAIL LTD.,FRL,Future Retail Limited,Services,Retail,FRL
IN9623B01058,570002,FRLDVR,FUTURE RETAIL LTD.,FRLDVR,Future Retail Limited,Services,Retail,FRLDVR
INE425D01015,523113,FUTURSEC,FUTURISTIC SECURITIES LTD.,NM,NM,Financial,Hire Purchase,FUTURSEC
INE241F01011,534063,FUTSOL,FUTURISTIC SOLUTIONS LTD.,NM,NM,Technology,Computer Software,FUTSOL
INE713N01013,504346,GDTRAGN,G.D.TRADING &amp; AGENCIES LTD.,NM,NM,Financial,Invest.Services,GDTRAGN
INE631D01026,505250,GGDANDE,G.G.DANDEKAR MACHINE WORKS LTD.,NM,NM,Engineering,Industrial Machinery,GGDANDE
INE131D01019,531758,GKCONS,G.K.CONSULTANTS LTD.,NM,NM,Financial,Misc. Fin.services,GKCONS
INE075D01018,507488,GMBREW,G.M.BREWERIES LTD.,GMBREW,GM Breweries Limited,FMCG,Beer,GMBREW
INE736H01024,513059,GSAUTO,G.S.AUTO INTERNATIONAL LTD.,NM,NM,Automobile,Auto Ancillaries,GSAUTO
INE524A01029,505714,GABRIEL,GABRIEL INDIA LTD.-$,GABRIEL,Gabriel India Limited,Automobile,Auto Ancillaries,GABRIEL
,502850,ZGAEKWAR,GAEKWAR MILLS LTD.,NM,NM,Textiles,Cotton & Blended Yarn,ZGAEKWAR
INE076D01016,524624,GAGAN,GAGAN GASES LTD.,NM,NM,Chemicals,Indl.Gases,GAGAN
INE297L01011,531196,GAGANPO,GAGAN POLYCOT INDIA LTD.,NM,NM,Textiles,Textile Processing,GAGANPO
INE129A01019,532155,GAIL,GAIL (INDIA) LTD.,GAIL,GAIL (India) Limited,Energy,Crude Oil & Natural Gas,GAIL
INE868G01019,538609,GAJANANSEC,Gajanan Securities Services Ltd,NM,NM,Financial,Misc. Fin.services,GAJANANSEC
INE282D01010,505711,GAJRA,GAJRA BEVEL GEARS LTD.-$,NM,NM,Automobile,Auto Ancillaries,GAJRA
INE243E01010,538881,GALADAFIN,Galada Finance Ltd,NM,NM,Financial,Misc. Fin.services,GALADAFIN
INE255C01018,504697,GALADA,GALADA POWER &amp; TELECOMMUNICATION LTD.,GALPOWTEL,Galada Power & Telecommunication Ltd,Engineering,Wires & cables,GALADA
INE803L01016,531911,GALAGEX,GALAXY AGRICO EXPORTS LTD.,NM,NM,Engineering,Other Machinery,GALAGEX
INE092O01028,526073,GALXBRG,GALAXY BEARINGS LTD.,NM,NM,Services,Recreational Services,GALXBRG
,511128,GALAXCP,GALAXY CONSOLIDATED FINANCE LTD.,NM,NM,Financial,Misc. Fin.services,GALAXCP
INE403B01016,506186,GLXYENT,GALAXY ENTERTAINMENT CORPORATION LTD.-$,NM,NM,Services,Recreational Services,GLXYENT
INE528K01011,533265,GALLISPAT,GALLANTT ISPAT LTD.,GALLISPAT,Gallantt Ispat Limited,Metals,Steel Wires,GALLISPAT
INE297H01019,532726,GALLANTT,GALLANTT METAL LTD.,GALLANTT,Gallantt Metal Limited,Metals,Sponge Iron,GALLANTT
